uid,session_id,user_id,timestamp,event_type,screen_x,screen_y,is_fraud,inter_event_time,original_session_id
18d23c24-c5ea-46ff-8318-17e743c24317,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2416201411472988629,1655993031186.0,2,1087.0,442.0,0,,
25f4ed5c-12d6-4164-827b-35ab5e9d84e9,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2416201411472988629,1655993031135.0,2,1324.0,468.0,0,,
29716657-2778-4f32-a14c-d062aa0d8c03,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2416201411472988629,1655993031102.0,2,1504.0,487.0,0,,
37cb2b1e-e479-4912-ad70-b6834b5fc86c,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2416201411472988629,1655993031218.0,2,965.0,428.0,0,,
00dc619a-0139-4c27-b13e-dcc0b668c4f9,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2416201411472988629,1655993039885.0,2,1919.0,1039.0,0,,
025f2637-a678-40aa-9a0d-8bc84027f17a,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2416201411472988629,1655993035896.0,2,726.0,509.0,0,,
02e54da3-39c8-442f-af95-76294728dfc6,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2416201411472988629,1655993034508.0,2,708.0,403.0,0,,
03eb025d-c0b1-4818-903c-dca1790eb168,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2416201411472988629,1655993032746.0,2,652.0,303.0,0,,
0fe8af7a-78b3-4ce1-932c-6a8a7c6ab6ed,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2416201411472988629,1655993038700.0,2,56.0,208.0,0,,
13cb14a0-7795-47c4-98f6-09e696a35dd1,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2416201411472988629,1655993032810.0,2,414.0,165.0,0,,
1566c9c9-1989-4290-a50c-1bdfe95afb94,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2416201411472988629,1655993037164.0,2,20.0,111.0,0,,
17e8325a-a9c1-4191-b886-c1c39d490e01,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2416201411472988629,1655993039392.0,2,654.0,638.0,0,,
275a617c-d2c9-442d-a070-77ab77f6bd1b,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2416201411472988629,1655993033612.0,2,228.0,176.0,0,,
335d32f1-480a-4b3e-82a6-a4ab599656e5,c4af3096-5a73-4d70-a8e6-f4ad64bd008a,-2416201411472988629,1655993036405.0,5,699.0,598.0,0,,
